DrawDate,GameName,DrawNumber,WinningNumber
02/05/2020,06:00 PM,1,"24,45,21,01,37,12,44"
09/05/2020,06:00 PM,2,"15,12,02,23,37,38,44"
16/05/2020,06:00 PM,3,"43,13,18,20,26,04,37"
23/05/2020,06:00 PM,4,"45,44,34,15,32,27,37"
30/05/2020,06:00 PM,5,"32,06,34,02,43,45,39"
06/06/2020,06:00 PM,6,"29,07,35,45,19,25,24"
13/06/2020,06:00 PM,7,"35,27,21,13,14,38,09"
20/06/2020,06:00 PM,8,"13,08,35,17,21,29,15"
27/06/2020,06:00 PM,9,"03,20,40,32,36,11,17"
04/07/2020,06:00 PM,10,"39,42,03,29,40,26,36"
11/07/2020,06:00 PM,11,"20,40,37,30,01,27,16"
18/07/2020,06:00 PM,12,"25,20,18,17,27,21,44"
25/07/2020,02:30 PM,13,"32,15,24,31,10,14,07"
01/08/2020,02:30 PM,14,"23,29,14,34,16,15,27"
08/08/2020,02:30 PM,15,"08,30,19,23,07,26,27"
15/08/2020,02:30 PM,16,"08,34,35,12,29,22,04"
22/08/2020,02:30 PM,17,"11,41,05,15,34,23,26"
29/08/2020,02:30 PM,18,"01,43,38,28,19,11,15"
05/09/2020,02:30 PM,19,"28,09,33,17,22,19,23"
12/09/2020,02:30 PM,20,"34,43,30,31,09,04,45"
19/09/2020,02:30 PM,21,"31,04,12,37,03,38,44"
26/09/2020,02:30 PM,22,"16,08,25,40,04,28,41"
03/10/2020,02:30 PM,23,"22,05,01,17,37,03,04"
10/10/2020,02:30 PM,24,"23,38,01,37,14,12,18"
17/10/2020,02:30 PM,25,"06,33,18,24,16,11,23"
24/10/2020,02:30 PM,26,"27,38,20,40,32,03,11"
31/10/2020,02:30 PM,27,"19,03,25,43,39,14,12"
07/11/2020,02:30 PM,28,"41,22,40,26,44,16,34"
14/11/2020,02:30 PM,29,"26,45,41,32,15,07,27"
21/11/2020,02:30 PM,30,"36,13,11,22,09,18,03"
28/11/2020,02:30 PM,31,"01,31,35,43,02,04,23"
05/12/2020,02:30 PM,32,"09,36,02,42,15,16,04"
12/12/2020,02:30 PM,33,"31,02,24,42,27,18,34"
19/12/2020,02:30 PM,34,"11,40,45,20,02,30,29"
26/12/2020,02:30 PM,35,"42,06,20,37,14,31,28"
02/01/2021,02:30 PM,36,"44,09,14,21,31,27,39"
09/01/2021,02:30 PM,37,"05,21,38,01,36,32,06"
16/01/2021,02:30 PM,38,"15,33,05,44,35,34,09"
23/01/2021,02:30 PM,39,"30,45,09,15,18,42,24"
30/01/2021,02:30 PM,40,"26,36,20,28,30,04,14"
06/02/2021,02:30 PM,41,"11,43,13,38,19,09,39"
13/02/2021,02:30 PM,42,"04,10,13,40,19,38,09"
20/02/2021,02:30 PM,43,"09,11,14,44,27,12,03"
27/02/2021,02:30 PM,44,"06,19,41,24,36,04,12"
